compound_name,gene_name_of_protein_target,target_or_activity_of_compound
zebularine,DNMT1,inhibitor of DNA methyltransferases
azacitidine,DNMT1,inhibitor of DNA methyltransferase
nelarabine,POLA1,deoxyguanosine analog; inhibitor of DNA synthesis
myricetin,,flavonoid antioxidant
BRD-K64610608,,product of diversity oriented synthesis; screening hit
ML334 diastereomer,KEAP1;NFE2L2,inhibitor of KEAP1-NFE2L2 protein-protein interaction
BRD-K09344309,,screening hit
isonicotinohydroxamic acid,HDAC6,inhibitor of HDAC6
QS-11,ARFGAP1,inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)
brivanib,FLT1;KDR,inhibitor of VEGFR 1/2
BRD8958,EP300,inhibitor of E1A binding protein p300
BRD-K34099515,,screening hit
A-804598,P2RX7,inhibitor of purinergic receptor P2X
erismodegib,,screening hit
abiraterone,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"
ifosfamide,,DNA alkylator
temozolomide,,DNA alkylator
BRD-A05715709,IDH1,putative inhibitor of IDH1 R132H
BRD-K48477130,,screening hit
CAY10594,PLD2,inhibitor of phospholipase D2
WP1130,UCHL5;USP14;USP5;USP9X,"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37"
tamoxifen,ESR1;ESR2,modulator of estrogen receptors
importazole,KPNB1,inhibitor of importin
ML006,S1PR3,agonist of sphingosine 1-phosphate receptor 3
AM-580,RARA,agonist of retinoic acid receptor alpha
CD-1530,RARG,agonist of retinoic acid receptor gamma
silmitasertib,CSNK2A1;CSNK2A2,inhibitor of casein kinase 2
PRL-3 inhibitor I,PTP4A3,inhibitor of phosphatase of regenerating liver-3 (PRL3)
NPC-26,,"induces cell death through a non-apoptotic, mitochondrial-dependent mechanism"
betulinic acid,,natural product; inhibitor of specificity protein 1 transcription factor in cells
salermide,SIRT1;SIRT2,inhibitor of sirtuin 1 and sirtuin 2
BRD-M00053801,BCL2,inhibitor of BCL2
AA-COCF3,FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D,inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase
CI-976,ACAT1,inhibitor of acetyl-CoA acetyltransferase I
pifithrin-alpha,,inhibitor of p53-dependent signaling
purmorphamine,SMO,activator of smoothened receptor
BIBR-1532,TERT,inhibitor of telomerase reverse transcriptase
niclosamide,STAT3,inhibitor of STAT3 signaling
bardoxolone methyl,,electrophilic inducer of the NFE2L2-KEAP1 pathway
hyperforin,TRPC6,agonist of calcium-permeable ion channels
BRD4132,,screening hit
regorafenib,BRAF;KDR;KIT;RET,"inhibitor of BRAF, RET, KIT, and VEGFR2"
