MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL12	Diazepam	Small molecule	1963	N05BA01	N05BA01 [Nervous System:Psycholeptics:Anxiolytics:Benzodiazepine derivatives]	-azepam	GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:PubMed, SrcID:15926867, URL:http://europepmc.org/abstract/MED/15926867|Name:PubMed, SrcID:2886589, URL:http://europepmc.org/abstract/MED/2886589	CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
CHEMBL24	Atenolol	Small molecule	1981	C07AB03	C07AB03 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, selective]	-olol	Beta-1 adrenergic receptor antagonist			CHEMBL213	Beta-1 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=f36d4ed3-dcbb-4465-9fa6-1da811f555e6, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f36d4ed3-dcbb-4465-9fa6-1da811f555e6	CC(C)NCC(O)COc1ccc(CC(=O)N)cc1
CHEMBL422	Trifluoperazine	Small molecule	1959	N05AB06	N05AB06 [Nervous System:Psycholeptics:Antipsychotics:Phenothiazines with piperazine structure]		Serotonin 2a (5-HT2a) receptor antagonist			CHEMBL224	Serotonin 2a (5-HT2a) receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:ISBN, SrcID:0443-059748 PP. 544, URL:http://www.isbnsearch.org/isbn/0443059748	CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
CHEMBL428	Trovafloxacin	Small molecule	1997	J01MA13	J01MA13 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Quinolone Antibacterials:Fluoroquinolones]	-oxacin	Topoisomerase IV inhibitor		Broad spectrum	CHEMBL2363076	Topoisomerase IV	INHIBITOR	Bacteria	PROTEIN COMPLEX			Name:DailyMed, SrcID:setid=da9b26bb-d2d7-4113-a0f9-c6c2280f4875, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=da9b26bb-d2d7-4113-a0f9-c6c2280f4875	N[C@@H]1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F
CHEMBL437	Sulfathiazole	Small molecule	1945	J01EB07; D06BA02	J01EB07 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Sulfonamides And Trimethoprim:Short-acting sulfonamides]; D06BA02 [Dermatologicals:Antibiotics And Chemotherapeutics For Dermatological Use:Chemotherapeutics For Topical Use:Sulfonamides]	sulfa-	Bacterial dihydropteroate synthase inhibitor			CHEMBL2364668	Bacterial dihydropteroate synthase	INHIBITOR	Bacteria	SINGLE PROTEIN			Name:PubMed, SrcID:14700578, URL:http://europepmc.org/abstract/MED/14700578	Nc1ccc(cc1)S(=O)(=O)Nc2nccs2
CHEMBL447	Secobarbital	Small molecule	1950	N05CA06	N05CA06 [Nervous System:Psycholeptics:Hypnotics And Sedatives:Barbiturates, plain]	-barb-	GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Barbiturate binding site	Barbiturate site	Name:PubMed, SrcID:11264449, URL:http://europepmc.org/abstract/MED/11264449	CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
CHEMBL452	Clonazepam	Small molecule	1975	N03AE01	N03AE01 [Nervous System:Antiepileptics:Antiepileptics:Benzodiazepine derivatives]	-azepam	GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:PubMed, SrcID:18384456, URL:http://europepmc.org/abstract/MED/18384456|Name:PubMed, SrcID:3034628, URL:http://europepmc.org/abstract/MED/3034628|Name:PubMed, SrcID:6135616, URL:http://europepmc.org/abstract/MED/6135616	[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
CHEMBL53	Apomorphine	Small molecule	2004	G04BE07; N04BC07	G04BE07 [Genito Urinary System And Sex Hormones:Urologicals:Urologicals:Drugs used in erectile dysfunction]; N04BC07 [Nervous System:Anti-Parkinson Drugs:Dopaminergic Agents:Dopamine agonists]		D2-like dopamine receptor agonist			CHEMBL2331075	D2-like dopamine receptor	AGONIST	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=ab5d4084-3121-4043-bc88-a77c5277bc35, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ab5d4084-3121-4043-bc88-a77c5277bc35|Name:ISBN, SrcID:0443-059748 PP. 511, URL:http://www.isbnsearch.org/isbn/0443059748	CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34
CHEMBL485	Codeine	Small molecule	1952	R05DA04; N02AA79; N02AA59	R05DA04 [Respiratory System:Cough And Cold Preparations:Cough Suppressants, Excl. Combinations With Expectorants:Opium alkaloids and derivatives]; N02AA79 [Nervous System:Analgesics:Opioids:Natural opium alkaloids]; N02AA59 [Nervous System:Analgesics:Opioids:Natural opium alkaloids]		Opioid receptors; mu/kappa/delta agonist			CHEMBL2095181	Opioid receptors; mu/kappa/delta	AGONIST	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:15611852, URL:http://europepmc.org/abstract/MED/15611852|Name:PubMed, SrcID:17620111, URL:http://europepmc.org/abstract/MED/17620111	COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
CHEMBL80	Naloxone	Small molecule	1971	V03AB15	V03AB15 [Various:All Other Therapeutic Products:All Other Therapeutic Products:Antidotes]	nal-	Opioid receptors; mu/kappa/delta antagonist			CHEMBL2095181	Opioid receptors; mu/kappa/delta	ANTAGONIST	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=76f7eee1-d524-43a4-a868-ffa9f29638a6#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=76f7eee1-d524-43a4-a868-ffa9f29638a6#nlm34090-1|Name:PubMed, SrcID:19435929, URL:http://europepmc.org/abstract/MED/19435929	Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
CHEMBL496	Hexachlorophene	Small molecule	1949	D08AE01	D08AE01 [Dermatologicals:Antiseptics And Disinfectants:Antiseptics And Disinfectants:Phenol and derivatives]		Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor		Broad spectrum	CHEMBL2364678	Bacterial enoyl-[acyl-carrier-protein] reductase	INHIBITOR	Bacteria	SINGLE PROTEIN			Name:PubMed, SrcID:10671494, URL:http://europepmc.org/abstract/MED/10671494	Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
CHEMBL11359	Cisplatin	Small molecule	1978	L01XA01	L01XA01 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Platinum compounds]		DNA inhibitor			CHEMBL2311221	DNA	INHIBITOR	Homo sapiens	NUCLEIC-ACID			Name:FDA, SrcID:label/2011/018057s081lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/018057s081lbl.pdf|Name:ISBN, SrcID:9780702034718 PP. 679, URL:http://www.isbnsearch.org/isbn/9780702034718	
