"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ABIRATERONE",1,5,"ABIRATERONE","BRIVANIB","ERISMODEGIB","EX527","TAMOXIFEN",NA,NA,NA,NA,NA
"AFATINIB",2,10,"AFATINIB","CANERTINIB","CYANOQUINOLINE11","ERLOTINIB","FORETINIB","GEFITINIB","IBRUTINIB","LAPATINIB","NERATINIB","WZ4002"
"ALVOCIDIB",3,7,"ALVOCIDIB","BMS345541","DOXORUBICIN","HLI373","PHA793887","STAUROSPORINE","TRIPTOLIDE",NA,NA,NA
"AZD6482",4,3,"AZD6482","GSK1059615","TGX221",NA,NA,NA,NA,NA,NA,NA
"BAXCHANNELBLOCKER",5,4,"BAXCHANNELBLOCKER","CAY10594","GW405833","OBATOCLAX",NA,NA,NA,NA,NA,NA
"BETULINICACID",6,3,"BETULINICACID","HYPERFORIN","MYRIOCIN",NA,NA,NA,NA,NA,NA,NA
"BIX01294",7,4,"BIX01294","GANT61","NSC23766","UNC0321",NA,NA,NA,NA,NA,NA
"BMS754807",8,4,"AZD1480","BMS536924","BMS754807","LINSITINIB",NA,NA,NA,NA,NA,NA
"BRDK01737880",9,3,"BARASERTIB","BRDK01737880","OSI930",NA,NA,NA,NA,NA,NA,NA
"BRDK33514849",10,5,"BRDK13999467","BRDK14844214","BRDK33514849","BRDK63431240","SILDENAFIL",NA,NA,NA,NA,NA
"BRDK71935468",11,2,"BRDK71935468","BRDK94991378",NA,NA,NA,NA,NA,NA,NA,NA
"BRDK86535717",12,10,"BRDK02492147","BRDK27224038","BRDK27986637","BRDK49290616","BRDK50799972","BRDK86535717","BRDK96431673","ETOMOXIR","FGIN127","SJ172550"
"CD1530",13,6,"AC55649","AM580","CD1530","CD437","GOSSYPOL","LE135",NA,NA,NA,NA
"CERULENIN",14,6,"CERULENIN","CUCURBITACINI","ISOLIQUIRITIGENIN","PIFITHRINMU","RITA","TRETINOIN",NA,NA,NA,NA
"CHIR99021",15,4,"CCT036477","CHIR99021","GSK3INHIBITORIX","SB525334",NA,NA,NA,NA,NA,NA
"COL3",16,6,"AZD7545","COL3","FULVESTRANT","PHLORETIN","TIGECYCLINE","TOSEDOSTAT",NA,NA,NA,NA
"CRIZOTINIB",17,4,"AT7867","CRIZOTINIB","NVPTAE684","RUXOLITINIB",NA,NA,NA,NA,NA,NA
"CYCLOPHOSPHAMIDE",18,4,"CYCLOPHOSPHAMIDE","FLUOROURACIL","IFOSFAMIDE","PROCARBAZINE",NA,NA,NA,NA,NA,NA
"DABRAFENIB",19,5,"DABRAFENIB","GDC0879","PLX4720","SELUMETINIB","TRAMETINIB",NA,NA,NA,NA,NA
"DACARBAZINE",20,4,"CIMETIDINE","DACARBAZINE","TEMOZOLOMIDE","VELIPARIB",NA,NA,NA,NA,NA,NA
"DECITABINE",21,3,"AZACITIDINE","DECITABINE","ZEBULARINE",NA,NA,NA,NA,NA,NA,NA
"GMX1778",22,5,"CAY10618","GMX1778","RG108","SB431542","TIPIFARNIBP2",NA,NA,NA,NA,NA
"GW843682X",23,2,"GSK461364","GW843682X",NA,NA,NA,NA,NA,NA,NA,NA
"IMATINIB",24,3,"IMATINIB","MASITINIB","NILOTINIB",NA,NA,NA,NA,NA,NA,NA
"ISONICOTINOHYDROXAMICACID",25,3,"BRDK88742110","ISONICOTINOHYDROXAMICACID","MYRICETIN",NA,NA,NA,NA,NA,NA,NA
"ISOX",26,5,"APICIDIN","BELINOSTAT","ISOX","TUBASTATINA","VORINOSTAT",NA,NA,NA,NA,NA
"KU0063794",27,8,"AZD8055","GDC0941","KU0063794","MK2206","NVPBEZ235","OSI027","PI103","ZSTK474",NA,NA
"KU60019",28,3,"KU55933","KU60019","SU11274",NA,NA,NA,NA,NA,NA,NA
"LOVASTATIN",29,4,"FLUVASTATIN","LOVASTATIN","PARTHENOLIDE","SIMVASTATIN",NA,NA,NA,NA,NA,NA
