"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ALVESPIMYCIN",1,6,"ALVESPIMYCIN","LY294002","RADICICOL","TANESPIMYCIN","VALPROICACID","WITHAFERINA",NA,NA,NA,NA
"AMONAFIDE",2,3,"AMONAFIDE","ELLIPTICINE","RAZOXANE",NA,NA,NA,NA,NA,NA,NA
"ARTESUNATE",3,4,"ARTEMETHER","ARTESUNATE","CLOTRIMAZOLE","NELFINAVIR",NA,NA,NA,NA,NA,NA
"AZACITIDINE",4,3,"AZACITIDINE","DECITABINE","OBATOCLAX",NA,NA,NA,NA,NA,NA,NA
"BENZO(A)PYRENE",5,4,"6AMINOCHRYSENE","BENZO(A)PYRENE","CLIOQUINOL","FULVESTRANT",NA,NA,NA,NA,NA,NA
"BRDK00910650",6,6,"BRDK00910650","CURCUMIN","ELESCLOMOL","ETACRYNICACID","NBROMOACETYLTRYPTAMINE","PHENETHYLISOTHIOCYANATE",NA,NA,NA,NA
"CAFFEICACID",7,3,"CAFFEICACID","CAFFEICACIDPHENETHYLESTER","LAVENDUSTINA",NA,NA,NA,NA,NA,NA,NA
"CAMPTOTHECIN",8,4,"BISBENZIMIDE","CAMPTOTHECIN","IRINOTECAN","TOPOTECAN",NA,NA,NA,NA,NA,NA
"CLADRIBINE",9,6,"CLADRIBINE","CLOFARABINE","FLUDARABINE","KINETINRIBOSIDE","PUROMYCIN","TRICIRIBINE",NA,NA,NA,NA
"CYCLOPAMINE",10,3,"CYCLOPAMINE","SOLANINE","THIORPHAN",NA,NA,NA,NA,NA,NA,NA
"CYCLOPHOSPHAMIDE",11,4,"CADMIUMCHLORIDE","CYCLOPHOSPHAMIDE","FLUCONAZOLE","IFOSFAMIDE",NA,NA,NA,NA,NA,NA
"DACARBAZINE",12,3,"ALLOPURINOL","DACARBAZINE","MITOTANE",NA,NA,NA,NA,NA,NA,NA
"DAUNORUBICIN",13,10,"ACTINOMYCIND","ALVOCIDIB","CHROMOMYCINA3","DAUNORUBICIN","DOXORUBICIN","EPIRUBICIN","ETOPOSIDE","IDARUBICIN","MITOXANTRONE","TENIPOSIDE"
"DIBENZOYLMETHANE",14,2,"DIBENZOYLMETHANE","PHENYLBUTYRATE",NA,NA,NA,NA,NA,NA,NA,NA
"DIGOXIN",15,4,"BISACODYL","DIGOXIN","GITOXIGENIN","OUABAIN",NA,NA,NA,NA,NA,NA
"DOCETAXEL",16,4,"BACCATINIII","DOCETAXEL","GEDUNIN","PACLITAXEL",NA,NA,NA,NA,NA,NA
"EMETINE",17,4,"ACETYLCYSTEINE","CYCLOHEXIMIDE","EMETINE","HOMOHARRINGTONINE",NA,NA,NA,NA,NA,NA
"ETHINYLESTRADIOL",18,4,"ABIRATERONE","EMODIN","ETHINYLESTRADIOL","NOSCAPINE",NA,NA,NA,NA,NA,NA
"FENRETINIDE",19,3,"AG957","FENRETINIDE","STAT3INHIBITORVI",NA,NA,NA,NA,NA,NA,NA
"FLOXURIDINE",20,6,"FLOXURIDINE","GEMCITABINE","IDOXURIDINE","RALTITREXED","TEGAFUR","TUNICAMYCIN",NA,NA,NA,NA
"FLUOROMETHOLONE",21,10,"CYCLOPIAZONICACID","DEXAMETHASONE","FLUMETHASONE","FLUOCINOLONE","FLUOROMETHOLONE","FLUPHENAZINE","ISOFLUPREDONE","METHYLPREDNISOLONE","NICOTINAMIDE","TRIAMCINOLONE"
"FORSKOLIN",22,3,"AMPHOTERICINB","FORSKOLIN","SUNITINIB",NA,NA,NA,NA,NA,NA,NA
