"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,3,"CLADRIBINE","CLOFARABINE","FLUDARABINE",NA,NA,NA,NA,NA,NA,NA,NA
"2",2,4,"BERBAMINE","CYCLOPHOSPHAMIDE","FLUCONAZOLE","IFOSFAMIDE",NA,NA,NA,NA,NA,NA,NA
"3",3,10,"ACTINOMYCIND","ALVOCIDIB","CHROMOMYCINA3","DAUNORUBICIN","DOXORUBICIN","EPIRUBICIN","IDARUBICIN","KENPAULLONE","MITOXANTRONE","ROTENONE",NA
"4",4,5,"AMONAFIDE","AZACITIDINE","DECITABINE","PHENYLBUTYRATE","TUNICAMYCIN",NA,NA,NA,NA,NA,NA
"5",5,10,"DEXAMETHASONE","FLUMETHASONE","FLUOCINOLONE","FLUOROMETHOLONE","FLUPHENAZINE","IDEBENONE","ISOFLUPREDONE","METHYLPREDNISOLONE","NICOTINAMIDE","TRIAMCINOLONE",NA
"6",6,11,"AFATINIB","BOSUTINIB","CRIZOTINIB","DASATINIB","ERLOTINIB","FOSTAMATINIB","GEFITINIB","IBRUTINIB","LAPATINIB","PAZOPANIB","TYRPHOSTINAG1478"
"7",7,5,"CYTARABINE","FLOXURIDINE","GEMCITABINE","IDOXURIDINE","RALTITREXED",NA,NA,NA,NA,NA,NA
"8",8,4,"IMIQUIMOD","ISOTRETINOIN","MIFEPRISTONE","PROGESTERONE",NA,NA,NA,NA,NA,NA,NA
"9",9,3,"ABIRATERONE","ITRACONAZOLE","TERCONAZOLE",NA,NA,NA,NA,NA,NA,NA,NA
"10",10,5,"AXITINIB","CLOFAZIMINE","LORATADINE","RITONAVIR","VALPROICACID",NA,NA,NA,NA,NA,NA
"11",11,6,"CHLORAMBUCIL","CISPLATIN","DIBENZOYLMETHANE","MELPHALAN","THIOTEPA","TRYPTOPHAN",NA,NA,NA,NA,NA
"12",12,4,"FLUVASTATIN","LOVASTATIN","MEVASTATIN","SIMVASTATIN",NA,NA,NA,NA,NA,NA,NA
"13",13,4,"IMATINIB","NILOTINIB","OSI027","PONATINIB",NA,NA,NA,NA,NA,NA,NA
"14",14,3,"BACCATINIII","DOCETAXEL","PACLITAXEL",NA,NA,NA,NA,NA,NA,NA,NA
"15",15,5,"DIPYRIDAMOLE","METHOTREXATE","NIFUROXAZIDE","PEMETREXED","PYRIMETHAMINE",NA,NA,NA,NA,NA,NA
"16",16,5,"DABRAFENIB","PD184352","SELUMETINIB","TRAMETINIB","VEMURAFENIB",NA,NA,NA,NA,NA,NA
"17",17,5,"CYTOCHALASINB","EVEROLIMUS","LY294002","OLAPARIB","TEMSIROLIMUS",NA,NA,NA,NA,NA,NA
"18",18,5,"AMSACRINE","ETOPOSIDE","PODOPHYLLOTOXIN","RAZOXANE","TENIPOSIDE",NA,NA,NA,NA,NA,NA
"19",19,4,"COLCHICINE","VINBLASTINE","VINCRISTINE","VINORELBINE",NA,NA,NA,NA,NA,NA,NA
"20",20,5,"BELINOSTAT","ENTINOSTAT","PYROXAMIDE","THMI94","VORINOSTAT",NA,NA,NA,NA,NA,NA
