"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"6AMINOCHRYSENE",1,4,"6AMINOCHRYSENE","BENZO(A)PYRENE","CLIOQUINOL","ELLIPTICINE",NA,NA,NA,NA,NA,NA,NA
"AG957",2,6,"AG957","CADMIUMCHLORIDE","ELESCLOMOL","FENRETINIDE","RADICICOL","STAT3INHIBITORVI",NA,NA,NA,NA,NA
"ALVESPIMYCIN",3,2,"ALVESPIMYCIN","TANESPIMYCIN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARTEMETHER",4,3,"ARTEMETHER","ARTESUNATE","YOHIMBINE",NA,NA,NA,NA,NA,NA,NA,NA
"BRDK00910650",5,5,"BRDK00910650","CURCUMIN","ETACRYNICACID","PHENETHYLISOTHIOCYANATE","RALOXIFENE",NA,NA,NA,NA,NA,NA
"CAFFEICACID",6,3,"CAFFEICACID","CAFFEICACIDPHENETHYLESTER","LAVENDUSTINA",NA,NA,NA,NA,NA,NA,NA,NA
"CARMOFUR",7,3,"CARMOFUR","FLUOROURACIL","TEGAFUR",NA,NA,NA,NA,NA,NA,NA,NA
"CINCHONINE",8,4,"CINCHONINE","GEDUNIN","SULFAQUINOXALINE","SULOCTIDIL",NA,NA,NA,NA,NA,NA,NA
"CLADRIBINE",9,3,"CLADRIBINE","CLOFARABINE","FLUDARABINE",NA,NA,NA,NA,NA,NA,NA,NA
"CYCLOPHOSPHAMIDE",10,4,"BERBAMINE","CYCLOPHOSPHAMIDE","FLUCONAZOLE","IFOSFAMIDE",NA,NA,NA,NA,NA,NA,NA
"DACARBAZINE",11,4,"ALLOPURINOL","DACARBAZINE","MITOTANE","WORTMANNIN",NA,NA,NA,NA,NA,NA,NA
"DAUNORUBICIN",12,10,"ACTINOMYCIND","ALVOCIDIB","CHROMOMYCINA3","DAUNORUBICIN","DOXORUBICIN","EPIRUBICIN","IDARUBICIN","KENPAULLONE","MITOXANTRONE","ROTENONE",NA
"DECITABINE",13,5,"AMONAFIDE","AZACITIDINE","DECITABINE","PHENYLBUTYRATE","TUNICAMYCIN",NA,NA,NA,NA,NA,NA
"DIGOXIN",14,7,"BISACODYL","DIGOXIN","GITOXIGENIN","LANATOSIDEC","OUABAIN","PROSTRATIN","SOLANINE",NA,NA,NA,NA
"DIHYDROERGOCRISTINE",15,4,"CYCLOPIAZONICACID","DIHYDROERGOCRISTINE","LASALOCID","NELFINAVIR",NA,NA,NA,NA,NA,NA,NA
"EMETINE",16,4,"ACETYLCYSTEINE","CYCLOHEXIMIDE","EMETINE","HOMOHARRINGTONINE",NA,NA,NA,NA,NA,NA,NA
"ETHINYLESTRADIOL",17,3,"ETHINYLESTRADIOL","FULVESTRANT","NOSCAPINE",NA,NA,NA,NA,NA,NA,NA,NA
"FLUOROMETHOLONE",18,10,"DEXAMETHASONE","FLUMETHASONE","FLUOCINOLONE","FLUOROMETHOLONE","FLUPHENAZINE","IDEBENONE","ISOFLUPREDONE","METHYLPREDNISOLONE","NICOTINAMIDE","TRIAMCINOLONE",NA
"FORSKOLIN",19,3,"FORSKOLIN","PYRAZOLANTHRONE","SUNITINIB",NA,NA,NA,NA,NA,NA,NA,NA
"GEFITINIB",20,11,"AFATINIB","BOSUTINIB","CRIZOTINIB","DASATINIB","ERLOTINIB","FOSTAMATINIB","GEFITINIB","IBRUTINIB","LAPATINIB","PAZOPANIB","TYRPHOSTINAG1478"
"GEMCITABINE",21,5,"CYTARABINE","FLOXURIDINE","GEMCITABINE","IDOXURIDINE","RALTITREXED",NA,NA,NA,NA,NA,NA
"HONOKIOL",22,4,"CLOTRIMAZOLE","HONOKIOL","PROBUCOL","RYANODINE",NA,NA,NA,NA,NA,NA,NA
"HYPERICIN",23,4,"EMODIN","GOSSYPOL","HYPERICIN","PIPAMPERONE",NA,NA,NA,NA,NA,NA,NA
"ISOTRETINOIN",24,4,"IMIQUIMOD","ISOTRETINOIN","MIFEPRISTONE","PROGESTERONE",NA,NA,NA,NA,NA,NA,NA
"ITRACONAZOLE",25,3,"ABIRATERONE","ITRACONAZOLE","TERCONAZOLE",NA,NA,NA,NA,NA,NA,NA,NA
"KINETINRIBOSIDE",26,4,"KINETINRIBOSIDE","PUROMYCIN","ROSCOVITINE","TRICIRIBINE",NA,NA,NA,NA,NA,NA,NA
"LEFLUNOMIDE",27,3,"CELECOXIB","LEFLUNOMIDE","NICLOSAMIDE",NA,NA,NA,NA,NA,NA,NA,NA
"LORATADINE",28,5,"AXITINIB","CLOFAZIMINE","LORATADINE","RITONAVIR","VALPROICACID",NA,NA,NA,NA,NA,NA
"MALONOBEN",29,4,"HEXACHLOROPHENE","MALONOBEN","TAMOXIFEN","TYRPHOSTINA9",NA,NA,NA,NA,NA,NA,NA
"MEBENDAZOLE",30,9,"CHELIDONINE","FENBENDAZOLE","FLUBENDAZOLE","LOBENDAZOLE","MEBENDAZOLE","NOCODAZOLE","OXFENDAZOLE","OXIBENDAZOLE","PARBENDAZOLE",NA,NA
"MELPHALAN",31,6,"CHLORAMBUCIL","CISPLATIN","DIBENZOYLMETHANE","MELPHALAN","THIOTEPA","TRYPTOPHAN",NA,NA,NA,NA,NA
"MENADIONE",32,4,"BORTEZOMIB","MENADIONE","PLUMBAGIN","SA792541",NA,NA,NA,NA,NA,NA,NA
"MEVASTATIN",33,4,"FLUVASTATIN","LOVASTATIN","MEVASTATIN","SIMVASTATIN",NA,NA,NA,NA,NA,NA,NA
"NILOTINIB",34,4,"IMATINIB","NILOTINIB","OSI027","PONATINIB",NA,NA,NA,NA,NA,NA,NA
"NOBILETIN",35,3,"NOBILETIN","PD98059","RHAMNETIN",NA,NA,NA,NA,NA,NA,NA,NA
"OLIGOMYCINA",36,5,"AMPHOTERICINB","METHYLENEBLUE","NONOXYNOL9","OLIGOMYCINA","OLIGOMYCINC",NA,NA,NA,NA,NA,NA
"OXIDOPAMINE",37,4,"OXIDOPAMINE","PENTAMIDINE","PURPUROGALLIN","TERTBUTYLHYDROQUINONE",NA,NA,NA,NA,NA,NA,NA
"PACLITAXEL",38,3,"BACCATINIII","DOCETAXEL","PACLITAXEL",NA,NA,NA,NA,NA,NA,NA,NA
"PIMOZIDE",39,4,"ALLANTOIN","CALYCANTHINE","PIMOZIDE","SPIPERONE",NA,NA,NA,NA,NA,NA,NA
"PROCARBAZINE",40,7,"HEXAMETHYLENEBISACETAMIDE","MONASTROL","NITAZOXANIDE","OFLOXACIN","PROCARBAZINE","SULFATHIAZOLE","TREMULACIN",NA,NA,NA,NA
"PYRIMETHAMINE",41,5,"DIPYRIDAMOLE","METHOTREXATE","NIFUROXAZIDE","PEMETREXED","PYRIMETHAMINE",NA,NA,NA,NA,NA,NA
"SELUMETINIB",42,5,"DABRAFENIB","PD184352","SELUMETINIB","TRAMETINIB","VEMURAFENIB",NA,NA,NA,NA,NA,NA
"STAUROSPORINE",43,3,"LESTAURTINIB","MIDOSTAURIN","STAUROSPORINE",NA,NA,NA,NA,NA,NA,NA,NA
"TEMSIROLIMUS",44,5,"CYTOCHALASINB","EVEROLIMUS","LY294002","OLAPARIB","TEMSIROLIMUS",NA,NA,NA,NA,NA,NA
"TENIPOSIDE",45,5,"AMSACRINE","ETOPOSIDE","PODOPHYLLOTOXIN","RAZOXANE","TENIPOSIDE",NA,NA,NA,NA,NA,NA
"TERREICACID",46,5,"ASCORBICACID","NBROMOACETYLTRYPTAMINE","PMSF","PRIMA1","TERREICACID",NA,NA,NA,NA,NA,NA
"THIORPHAN",47,4,"CYCLOPAMINE","HALOPERIDOL","NAVITOCLAX","THIORPHAN",NA,NA,NA,NA,NA,NA,NA
"TOPOTECAN",48,4,"BISBENZIMIDE","CAMPTOTHECIN","IRINOTECAN","TOPOTECAN",NA,NA,NA,NA,NA,NA,NA
"VINBLASTINE",49,4,"COLCHICINE","VINBLASTINE","VINCRISTINE","VINORELBINE",NA,NA,NA,NA,NA,NA,NA
"VORINOSTAT",50,5,"BELINOSTAT","ENTINOSTAT","PYROXAMIDE","THMI94","VORINOSTAT",NA,NA,NA,NA,NA,NA
"WITHAFERINA",51,6,"CELASTROL","HALOPROGIN","OBATOCLAX","PARTHENOLIDE","THAPSIGARGIN","WITHAFERINA",NA,NA,NA,NA,NA
